,store,address,contact
0,부산광복동점,051-243-9105,부산광역시 중구 창선동 2가 8-2
1,인천구월동점,032-421-3418,"인천광역시 남동구 예술로 138 지상1,2층"
2,대전탄방동점,042-471-9805,대전시 서구 문정로76 1층
3,일산라페스타점,031-907-2326,경기도 고양시 일산동구 장항동 764 라페스타C동
4,일산웨스턴돔1호점,031-931-5573,경기도 고양시 일산동구 정발산로 24 I동103~203호
