,title,description,originallink,link,pubDate
434,"[S코어북] 'SON 득점 관여+케인 추가시간 동점골' 토트넘, 첼시에 2-2 무승부",후반 초반 <b>손흥민</b>의 슛이 터졌다. 후반 3분 케인이 골문으로 쇄도하는 <b>손흥민</b>을 향해 로빙패스했다. 이를 <b>손흥민</b>이 잡아 넘어지며 슈팅했지만 멘디 골키퍼가 막아냈다. 후반 13분 토트넘이 수비수 세세뇽을 빼고 공격수... ,http://www.stnsports.co.kr/news/articleView.html?idxno=153439,https://sports.news.naver.com/news.nhn?oid=450&aid=0000086753,"Mon, 15 Aug 2022 02:32:00 +0900"
435,"'케인 극장 동점골' 토트넘, 첼시와 2-2 무 [PL 2R 리뷰]","라이언 세세뇽, 피에르 에밀 호이비에르, 로드리고 벤탄쿠르, 에메르송이 중원을 구축했고, <b>손흥민</b>, 해리... <b>손흥민</b>의 공을 뺏고 시작된 첼시 공격에서 스털링의 패스를 받은 하베르츠가 골문 구석을 노려 슈팅 했고... ",https://www.xportsnews.com/article/1617958,https://sports.news.naver.com/news.nhn?oid=311&aid=0001488792,"Mon, 15 Aug 2022 02:31:00 +0900"
436,"'80분 출전→침묵' 손흥민, 평점 6.4점...'SON 답지 않은 경기력'","<b>손흥민</b>이 침묵 속에 후반전에 교체됐다. 토트넘 홋스퍼와 첼시는 15일 오전 0시 30분(한국시간) 영국... <b>손흥민</b>은 해리 케인, 데얀 클루셉스키와 함께 선발로 출전해 토트넘의 공격을 책임졌다. 80분 동안 그라운드를... ",http://www.sportalkorea.com/news/view.php?gisa_uniq=2022081502301520&section_code=20&cp=se&sp=A,https://sports.news.naver.com/news.nhn?oid=139&aid=0002171321,"Mon, 15 Aug 2022 02:31:00 +0900"
437,"[리뷰] '케인 추가시간 동점골' 토트넘, 천적 첼시와 2-2 무승부","토트넘은 <b>손흥민</b>, 해리 케인, 데얀 쿨루세브스키 스리톱을 세웠다. 로드리고 벤탄쿠르와 피에르에밀... 전반 41분 세트피스 수비에 성공한 뒤 <b>손흥민</b>이 공을 몰고 역습에 나섰다. 한 명 돌파하고 본격적으로 속도를... ",http://www.footballist.co.kr/news/articleView.html?idxno=154131,https://sports.news.naver.com/news.nhn?oid=436&aid=0000062074,"Mon, 15 Aug 2022 02:30:00 +0900"
438,"[PL REVIEW] '케인 극장골' 토트넘, 첼시와 2-2 극적인 무승부","<b>손흥민</b>, 해리 케인, 데얀 쿨루셉스키가 스리톱을 이뤘고 피에르-에밀 호이비에르, 로드리고 벤탄쿠르... 전반 41분 <b>손흥민</b>이 역습 과정에서 단독 드리블을 펼쳤다. 과거 번리전 득점이 떠오르는 순간이었다. 첼시는... ",https://www.spotvnews.co.kr/news/articleView.html?idxno=542849,https://sports.news.naver.com/news.nhn?oid=477&aid=0000376274,"Mon, 15 Aug 2022 02:28:00 +0900"
439,"'손흥민 80분·케인 극장 동점골' 토트넘, 첼시와 2-2 무승부"," <b>손흥민</b>(30·토트넘 홋스퍼)이 풀타임을 소화한 가운데, 토트넘이 첼시와 비겼다. 토트넘은 15일(이하... 관심을 모았던 <b>손흥민</b>은 선발출전해 80분을 소화했지만 공격포인트를 올리는 데 실패했다. ⓒAFPBBNews = News1 먼저... ",http://sports.hankooki.com/news/articleView.html?idxno=6804622,http://sports.hankooki.com/news/articleView.html?idxno=6804622,"Mon, 15 Aug 2022 02:28:00 +0900"
440,"'케인 극장골' 토트넘, 첼시 원정서 2-2 무승부... 손흥민 침묵","선발로 나선 <b>손흥민</b>은 침묵을 지켰다. 안토니오 콘테 감독이 이끄는 토트넘은 15일 오전 0시 30분(한국시간)... <b>손흥민</b>은 해리 케인, 데얀 쿨루셉스키와 함께 2경기 연속 선발로 나섰지만 공격 포인트를 기록하지 못했다.... ",http://star.mt.co.kr/stview.php?no=2022081422584244898,https://sports.news.naver.com/news.nhn?oid=108&aid=0003078945,"Mon, 15 Aug 2022 02:28:00 +0900"
441,"'손흥민 80분' 토트넘, 첼시와 2-2 무승부",<b>손흥민</b>이 공격 포인트를 올리지 못한 가운데 소속팀 토트넘 홋스퍼가 첼시FC와 무승부를 거뒀다. 토트넘은... 이날 토트넘의 선발 라인업에 이름을 올린 <b>손흥민</b>은 후반 35분 이반 페리시치와 교체될 때까지 그라운드를... ,http://www.stoo.com/article.php?aid=81989755230,http://www.stoo.com/article.php?aid=81989755230,"Mon, 15 Aug 2022 02:28:00 +0900"
442,"'케인 극적 동점골' 토트넘, 첼시와 2-2 무승부…손흥민 80분 활약",<b>손흥민</b>은 이날 경기에서 선발 출전해 후반 34분 페리시치와 교체된 가운데 80분 가량 활약했다. 토트넘은 첼시를 상대로 케인이 공격수로 나섰고 <b>손흥민</b>과 쿨루셉스키가 측면 공격을 이끌었다. 벤탄쿠르와 호이비에르는... ,http://www.mydaily.co.kr/new_yk/html/read.php?newsid=202208150216531107&ext=na&utm_campaign=naver_news&utm_source=naver&utm_medium=related_news,https://sports.news.naver.com/news.nhn?oid=117&aid=0003635886,"Mon, 15 Aug 2022 02:28:00 +0900"
443,"결정적 역습기회서 대놓고 SON 잡아끈 제임스, 원더골 트라우마?[첼시-토트넘...","<b>손흥민</b>(토트넘 훗스퍼)의 부스터가 ON됐고 마치 &apos;푸스카스상&apos;을 안긴 번리전골을 기대해볼만한 장면이었다. 그때 뒤에서 첼시의 수비수 리스 제임스가 대놓고, 그리고 옐로카드를 감수하고 <b>손흥민</b>을 잡아끌어 반칙을... ",http://sports.hankooki.com/news/articleView.html?idxno=6804627,http://sports.hankooki.com/news/articleView.html?idxno=6804627,"Mon, 15 Aug 2022 02:28:00 +0900"
444,"[epl.review] '케인 극장골' 토트넘, 첼시에 2-2 무...7G만에 첼시전 득점","<b>손흥민</b>, 케인, 쿨루셉스키, 세세뇽, 호이비에르, 벤탄쿠르, 에메르송, 데이비스, 다이어, 로메로가 선발로... <b>손흥민</b>이 힘을 냈다. 전반 40분 <b>손흥민</b>은 첼시의 코너킥 이후 속공 상황에서 드리블을 시도했지만 제임스가... ",http://www.fourfourtwo.co.kr/news/articleView.html?idxno=17936,https://sports.news.naver.com/news.nhn?oid=411&aid=0000013714,"Mon, 15 Aug 2022 02:28:00 +0900"
445,"'케인 극장골' 토트넘, 첼시와 2-2 무승부...맞대결 5연패 탈출 [경기종료]","<b>손흥민</b>을 필두로 해리 케인과 데얀 쿨루셉스키, 라이언 세세뇽, 로드리고 벤탄쿠르, 피에르-에밀 호이비에르... 후반 2분 케인이 첼시 수비 뒷공간으로 패스를 뿌렸고 <b>손흥민</b>이 빠른 속도를 자랑하며 공을 받아냈다.... ",http://www.osen.co.kr/article/G1111919656,https://sports.news.naver.com/news.nhn?oid=109&aid=0004678734,"Mon, 15 Aug 2022 02:28:00 +0900"
446,"'해리 케인 극장골' 토트넘, 첼시와 2-2 무승부",<b>손흥민</b>은 전반 3분 페널티 박스 정면에서 슈팅을 시도했지만 수비에 막혔다. 이후 첼시가 점유율을 유지한... 이어 <b>손흥민</b>의 패스 실수를 역습으로 연결했다. 스털링이 페널티 박스 오른쪽 부근에서 흘려준 패스를... ,http://www.dailysportshankook.co.kr/news/articleView.html?idxno=262322,http://www.dailysportshankook.co.kr/news/articleView.html?idxno=262322,"Mon, 15 Aug 2022 02:28:00 +0900"
447,"[EPL 리뷰] '케인 추가시간 극적 동점골' 토트넘, 첼시와 2-2 무...손흥민 80...","에메르송-<b>손흥민</b>, 쿨루셉스키-케인 첼시(3-4-2-1) : 멘디(GK)-쿨리발리, 실바, 제임스-쿠쿠렐라, 조르지뉴, 캉테... 토트넘은 <b>손흥민</b>을 중심으로 첼시의 뒷공간을 노렸지만, 견고한 수비진에 여러 차례 막혔다. 시간이... ",http://www.interfootball.co.kr/news/articleView.html?idxno=579446,https://sports.news.naver.com/news.nhn?oid=413&aid=0000144634,"Mon, 15 Aug 2022 02:27:00 +0900"
448,"[EPL리뷰]'케인 극장동점골' 토트넘, 첼시 원정 2대2 무승부! SON 79분 침묵","<b>손흥민</b>(토트넘)은 선발 출전했지만 공격포인트를 기록하지 못하고 후반 35분 교체아웃됐다. 토트넘은 14일... <b>손흥민</b>, 케인, 클루세프스키가 스리톱으로 나섰다. 허리에는 호이비에르, 벤탄쿠르가 배치됐다. 좌우 윙백은... ",http://sports.chosun.com/news/ntype.htm?id=202208160100102770006336&servicedate=20220815,https://sports.news.naver.com/news.nhn?oid=076&aid=0003904789,"Mon, 15 Aug 2022 02:27:00 +0900"
449,"[EPL 2R] 'SON 침묵' 토트넘, 첼시와 2-2 무승부...'케인이 살렸다'","클루셉스키, <b>손흥민</b>, 해리 케인이 선발로 나섰다. 양 팀은 전반 초반부터 치열한 공방전을 펼쳤다. 토트넘과... 후반 2분 <b>손흥민</b>이 아쉽게 동점골 기회를 놓쳤다. 케인이 연결한 롱 패스를 받아 슈팅으로 연결했지만 너무... ",http://www.sportalkorea.com/news/view.php?gisa_uniq=2022081502194720&section_code=20&cp=se&sp=A,https://sports.news.naver.com/news.nhn?oid=139&aid=0002171320,"Mon, 15 Aug 2022 02:27:00 +0900"
